x1	y1	label
-400	600	Plane_004
x2	y2	manDist	eucDist	label
-1300	100	1400	1030 	SFO
-1200	700	900	806.2 	SEA
-900	500	600	509.9 	JAC
-600	100	700	538.5 	SLC
-200	700	300	223.6 	MSP
-200	300	500	360.6 	JAC
-1200	-300	1700	1204 	LAX
-700	-200	1100	854.4 	LAS
-300	-100	800	707.1 	DEN
-400	-500	1100	1100 	PHX
0	-300	1300	984.9 	DFW
100	500	600	509.9 	ORD
300	500	800	707.1 	DTW
700	700	1200	1105 	EWR
900	700	1400	1304 	JFK
900	100	1800	1393 	CLT
300	-100	1400	989.9 	STL
500	-400	1900	1345 	ATL
900	-600	2500	1769 	MCO
1000	-800	2800	1980 	MIA
