x1	y1	label
-1100	-100	Plane_005
x2	y2	manDist	eucDist	label
-1300	100	400	282.8 	SFO
-1200	700	900	806.2 	SEA
-900	500	800	632.5 	JAC
-600	100	700	538.5 	SLC
-200	700	1700	1204 	MSP
-200	300	1300	984.9 	JAC
-1200	-300	300	223.6 	LAX
-700	-200	500	412.3 	LAS
-300	-100	800	800 	DEN
-400	-500	1100	806.2 	PHX
0	-300	1300	1118 	DFW
100	500	1800	1342 	ORD
300	500	2000	1523 	DTW
700	700	2600	1970 	EWR
900	700	2800	2154 	JFK
900	100	2200	2010 	CLT
300	-100	1400	1400 	STL
500	-400	1900	1628 	ATL
900	-600	2500	2062 	MCO
1000	-800	2800	2214 	MIA
