x1	y1	label
300	800	Plane_009
x2	y2	manDist	eucDist	label
-1300	100	2300	1746 	SFO
-1200	700	1600	1503 	SEA
-900	500	1500	1237 	JAC
-600	100	1600	1140 	SLC
-200	700	600	509.9 	MSP
-200	300	1000	707.1 	JAC
-1200	-300	2600	1860 	LAX
-700	-200	2000	1414 	LAS
-300	-100	1500	1082 	DEN
-400	-500	2000	1476 	PHX
0	-300	1400	1140 	DFW
100	500	500	360.6 	ORD
300	500	300	300 	DTW
700	700	500	412.3 	EWR
900	700	700	608.3 	JFK
900	100	1300	922 	CLT
300	-100	900	900 	STL
500	-400	1400	1217 	ATL
900	-600	2000	1523 	MCO
1000	-800	2300	1746 	MIA
