x1	y1	label
-1100	500	Plane_002
x2	y2	manDist	eucDist	label
-900      500       200       200       JAC       
-1200     700       300       223.6     SEA       
-1300     100       600       447.2     SFO       
-600      100       900       640.3     SLC       
-1200     -300      900       806.2     LAX       
-700      -200      1100      806.2     LAS       
-200      700       1100      922       MSP       
-200      300       1100      922       JAC       
-300      -100      1400      1000      DEN       
100       500       1200      1200      ORD       
-400      -500      1700      1221      PHX       
0         -300      1900      1360      DFW       
300       500       1400      1400      DTW       
300       -100      2000      1523      STL       
700       700       2000      1811      EWR       
500       -400      2500      1836      ATL       
900       700       2200      2010      JFK       
900       100       2400      2040      CLT       
900       -600      3100      2283      MCO       
1000      -800      3400      2470      MIA       
