x1	y1	label
-800	-400	Plane_006
x2	y2	manDist	eucDist	label
-700      -200      300       223.6     LAS       
-1200     -300      500       412.3     LAX       
-400      -500      500       412.3     PHX       
-600      100       700       538.5     SLC       
-300      -100      800       583.1     DEN       
-1300     100       1000      707.1     SFO       
0         -300      900       806.2     DFW       
-900      500       1000      905.5     JAC       
-200      300       1300      922       JAC       
300       -100      1400      1140      STL       
-1200     700       1500      1170      SEA       
-200      700       1700      1253      MSP       
100       500       1800      1273      ORD       
500       -400      1300      1300      ATL       
300       500       2000      1421      DTW       
900       -600      1900      1712      MCO       
900       100       2200      1772      CLT       
1000      -800      2200      1844      MIA       
700       700       2600      1860      EWR       
900       700       2800      2025      JFK       
