x1	y1	label
400	-600	Plane_012
x2	y2	manDist	eucDist	label
500       -400      300       223.6     ATL       
0         -300      700       500       DFW       
900       -600      500       500       MCO       
300       -100      600       509.9     STL       
1000      -800      800       632.5     MIA       
-400      -500      900       806.2     PHX       
-300      -100      1200      860.2     DEN       
900       100       1200      860.2     CLT       
-200      300       1500      1082      JAC       
300       500       1200      1105      DTW       
100       500       1400      1140      ORD       
-700      -200      1500      1170      LAS       
-600      100       1700      1221      SLC       
700       700       1600      1334      EWR       
900       700       1800      1393      JFK       
-200      700       1900      1432      MSP       
-1200     -300      1900      1628      LAX       
-900      500       2400      1703      JAC       
-1300     100       2400      1838      SFO       
-1200     700       2900      2062      SEA       
