x1	y1	label
-800	200	Plane_003
x2	y2	manDist	eucDist	label
-600      100       300       223.6     SLC       
-900      500       400       316.2     JAC       
-700      -200      500       412.3     LAS       
-1300     100       600       509.9     SFO       
-200      300       700       608.3     JAC       
-300      -100      800       583.1     DEN       
-1200     700       900       640.3     SEA       
-1200     -300      900       640.3     LAX       
-200      700       1100      781       MSP       
-400      -500      1100      806.2     PHX       
100       500       1200      948.7     ORD       
0         -300      1300      943.4     DFW       
300       500       1400      1140      DTW       
300       -100      1400      1140      STL       
900       100       1800      1703      CLT       
500       -400      1900      1432      ATL       
700       700       2000      1581      EWR       
900       700       2200      1772      JFK       
900       -600      2500      1879      MCO       
1000      -800      2800      2059      MIA       
