x1	y1	label
-500	-600	Plane_007
x2	y2	manDist	eucDist	label
-400      -500      200       141.4     PHX       
-700      -200      600       447.2     LAS       
-300      -100      700       538.5     DEN       
0         -300      800       583.1     DFW       
-600      100       800       707.1     SLC       
-1200     -300      1000      761.6     LAX       
-200      300       1200      948.7     JAC       
500       -400      1200      1020      ATL       
300       -100      1300      943.4     STL       
900       -600      1400      1400      MCO       
-1300     100       1500      1063      SFO       
-900      500       1500      1170      JAC       
-200      700       1600      1334      MSP       
100       500       1700      1253      ORD       
1000      -800      1700      1513      MIA       
300       500       1900      1360      DTW       
-1200     700       2000      1476      SEA       
900       100       2100      1565      CLT       
700       700       2500      1769      EWR       
900       700       2700      1910      JFK       
