x1	y1	label
300	800	Plane_009
x2	y2	manDist	eucDist	label
300       500       300       300       DTW       
100       500       500       360.6     ORD       
700       700       500       412.3     EWR       
-200      700       600       509.9     MSP       
900       700       700       608.3     JFK       
300       -100      900       900       STL       
-200      300       1000      707.1     JAC       
900       100       1300      922       CLT       
0         -300      1400      1140      DFW       
500       -400      1400      1217      ATL       
-300      -100      1500      1082      DEN       
-900      500       1500      1237      JAC       
-600      100       1600      1140      SLC       
-1200     700       1600      1503      SEA       
-700      -200      2000      1414      LAS       
-400      -500      2000      1476      PHX       
900       -600      2000      1523      MCO       
-1300     100       2300      1746      SFO       
1000      -800      2300      1746      MIA       
-1200     -300      2600      1860      LAX       
