x1	y1	label
800	-800	Plane_013
x2	y2	manDist	eucDist	label
1000      -800      200       200       MIA       
900       -600      300       223.6     MCO       
500       -400      700       500       ATL       
900       100       1000      905.5     CLT       
300       -100      1200      860.2     STL       
0         -300      1300      943.4     DFW       
-400      -500      1500      1237      PHX       
700       700       1600      1503      EWR       
900       700       1600      1503      JFK       
-300      -100      1800      1304      DEN       
300       500       1800      1393      DTW       
100       500       2000      1476      ORD       
-200      300       2100      1487      JAC       
-700      -200      2100      1616      LAS       
-600      100       2300      1664      SLC       
-200      700       2500      1803      MSP       
-1200     -300      2500      2062      LAX       
-900      500       3000      2140      JAC       
-1300     100       3000      2285      SFO       
-1200     700       3500      2500      SEA       
