x1	y1	label
-1200	300	Plane_001
x2	y2	manDist	eucDist	label
-1300	100	300	223.6	SFO
-1200	700	400	400	SEA
-900	500	500	360.6	JAC
-1200	-300	600	600	LAX
-600	100	800	632.5	SLC
-700	-200	1000	707.1	LAS
-200	300	1000	1000	JAC
-300	-100	1300	984.9	DEN
-200	700	1400	1077	MSP
100	500	1500	1315	ORD
-400	-500	1600	1131	PHX
300	500	1700	1513	DTW
0	-300	1800	1342	DFW
300	-100	1900	1552	STL
700	700	2300	1942	EWR
900	100	2300	2110	CLT
500	-400	2400	1838	ATL
900	700	2500	2138	JFK
900	-600	3000	2285	MCO
1000	-800	3300	2460	MIA
