x1 y1 label
-1200 300 Plane_001
manDist eucDist label
300 223.6 SFO
400 400 SEA
500 360.6 JAC
800 632.5 SLC
1400 1077 MSP
1000 1000 JAC
600 600 LAX
1000 707.1 LAS
1300 984.9 DEN
1600 1131 PHX
1800 1342 DFW
1500 1315 ORD
1700 1513 DTW
2300 1942 EWR
2500 2138 JFK
2300 2110 CLT
1900 1552 STL
2400 1838 ATL
3000 2285 MCO
3300 2460 MIA

x1 y1 label
-1100 500 Plane_002
manDist eucDist label
600 447.2 SFO
300 223.6 SEA
200 200 JAC
900 640.3 SLC
1100 922 MSP
1100 922 JAC
900 806.2 LAX
1100 806.2 LAS
1400 1000 DEN
1700 1221 PHX
1900 1360 DFW
1200 1200 ORD
1400 1400 DTW
2000 1811 EWR
2200 2010 JFK
2400 2040 CLT
2000 1523 STL
2500 1836 ATL
3100 2283 MCO
3400 2470 MIA

x1 y1 label
-800 200 Plane_003
manDist eucDist label
600 509.9 SFO
900 640.3 SEA
400 316.2 JAC
300 223.6 SLC
1100 781 MSP
700 608.3 JAC
900 640.3 LAX
500 412.3 LAS
800 583.1 DEN
1100 806.2 PHX
1300 943.4 DFW
1200 948.7 ORD
1400 1140 DTW
2000 1581 EWR
2200 1772 JFK
1800 1703 CLT
1400 1140 STL
1900 1432 ATL
2500 1879 MCO
2800 2059 MIA

x1 y1 label
-400 600 Plane_004
manDist eucDist label
1400 1030 SFO
900 806.2 SEA
600 509.9 JAC
700 538.5 SLC
300 223.6 MSP
500 360.6 JAC
1700 1204 LAX
1100 854.4 LAS
800 707.1 DEN
1100 1100 PHX
1300 984.9 DFW
600 509.9 ORD
800 707.1 DTW
1200 1105 EWR
1400 1304 JFK
1800 1393 CLT
1400 989.9 STL
1900 1345 ATL
2500 1769 MCO
2800 1980 MIA

x1 y1 label
-1100 -100 Plane_005
manDist eucDist label
400 282.8 SFO
900 806.2 SEA
800 632.5 JAC
700 538.5 SLC
1700 1204 MSP
1300 984.9 JAC
300 223.6 LAX
500 412.3 LAS
800 800 DEN
1100 806.2 PHX
1300 1118 DFW
1800 1342 ORD
2000 1523 DTW
2600 1970 EWR
2800 2154 JFK
2200 2010 CLT
1400 1400 STL
1900 1628 ATL
2500 2062 MCO
2800 2214 MIA

x1 y1 label
-800 -400 Plane_006
manDist eucDist label
1000 707.1 SFO
1500 1170 SEA
1000 905.5 JAC
700 538.5 SLC
1700 1253 MSP
1300 922 JAC
500 412.3 LAX
300 223.6 LAS
800 583.1 DEN
500 412.3 PHX
900 806.2 DFW
1800 1273 ORD
2000 1421 DTW
2600 1860 EWR
2800 2025 JFK
2200 1772 CLT
1400 1140 STL
1300 1300 ATL
1900 1712 MCO
2200 1844 MIA

x1 y1 label
-500 -600 Plane_007
manDist eucDist label
1500 1063 SFO
2000 1476 SEA
1500 1170 JAC
800 707.1 SLC
1600 1334 MSP
1200 948.7 JAC
1000 761.6 LAX
600 447.2 LAS
700 538.5 DEN
200 141.4 PHX
800 583.1 DFW
1700 1253 ORD
1900 1360 DTW
2500 1769 EWR
2700 1910 JFK
2100 1565 CLT
1300 943.4 STL
1200 1020 ATL
1400 1400 MCO
1700 1513 MIA

x1 y1 label
200 100 Plane_008
manDist eucDist label
1500 1500 SFO
2000 1523 SEA
1500 1170 JAC
800 800 SLC
1000 721.1 MSP
600 447.2 JAC
1800 1456 LAX
1200 948.7 LAS
700 538.5 DEN
1200 848.5 PHX
600 447.2 DFW
500 412.3 ORD
500 412.3 DTW
1100 781 EWR
1300 922 JFK
700 700 CLT
300 223.6 STL
800 583.1 ATL
1400 989.9 MCO
1700 1204 MIA

x1 y1 label
300 800 Plane_009
manDist eucDist label
2300 1746 SFO
1600 1503 SEA
1500 1237 JAC
1600 1140 SLC
600 509.9 MSP
1000 707.1 JAC
2600 1860 LAX
2000 1414 LAS
1500 1082 DEN
2000 1476 PHX
1400 1140 DFW
500 360.6 ORD
300 300 DTW
500 412.3 EWR
700 608.3 JFK
1300 922 CLT
900 900 STL
1400 1217 ATL
2000 1523 MCO
2300 1746 MIA

x1 y1 label
700 100 Plane_010
manDist eucDist label
2000 2000 SFO
2500 1992 SEA
2000 1649 JAC
1300 1300 SLC
1500 1082 MSP
1100 922 JAC
2300 1942 LAX
1700 1432 LAS
1200 1020 DEN
1700 1253 PHX
1100 806.2 DFW
1000 721.1 ORD
800 565.7 DTW
600 600 EWR
800 632.5 JFK
200 200 CLT
600 447.2 STL
700 538.5 ATL
900 728 MCO
1200 948.7 MIA

x1 y1 label
900 400 Plane_011
manDist eucDist label
2500 2220 SFO
2400 2121 SEA
1900 1803 JAC
1800 1530 SLC
1400 1140 MSP
1200 1105 JAC
2800 2214 LAX
2200 1709 LAS
1700 1300 DEN
2200 1581 PHX
1600 1140 DFW
900 806.2 ORD
700 608.3 DTW
500 360.6 EWR
300 300 JFK
300 300 CLT
1100 781 STL
1200 894.4 ATL
1000 1000 MCO
1300 1204 MIA

x1 y1 label
400 -600 Plane_012
manDist eucDist label
2400 1838 SFO
2900 2062 SEA
2400 1703 JAC
1700 1221 SLC
1900 1432 MSP
1500 1082 JAC
1900 1628 LAX
1500 1170 LAS
1200 860.2 DEN
900 806.2 PHX
700 500 DFW
1400 1140 ORD
1200 1105 DTW
1600 1334 EWR
1800 1393 JFK
1200 860.2 CLT
600 509.9 STL
300 223.6 ATL
500 500 MCO
800 632.5 MIA

x1 y1 label
800 -800 Plane_013
manDist eucDist label
3000 2285 SFO
3500 2500 SEA
3000 2140 JAC
2300 1664 SLC
2500 1803 MSP
2100 1487 JAC
2500 2062 LAX
2100 1616 LAS
1800 1304 DEN
1500 1237 PHX
1300 943.4 DFW
2000 1476 ORD
1800 1393 DTW
1600 1503 EWR
1600 1503 JFK
1000 905.5 CLT
1200 860.2 STL
700 500 ATL
300 223.6 MCO
200 200 MIA

x1 y1 label
1000 -300 Plane_014
manDist eucDist label
2700 2335 SFO
3200 2417 SEA
2700 2062 JAC
2000 1649 SLC
2200 1562 MSP
1800 1342 JAC
2200 2200 LAX
1800 1703 LAS
1500 1315 DEN
1600 1414 PHX
1000 1000 DFW
1700 1204 ORD
1500 1063 DTW
1300 1044 EWR
1100 1005 JFK
500 412.3 CLT
900 728 STL
600 509.9 ATL
400 316.2 MCO
500 500 MIA

x1 y1 label
1000 -300 
manDist eucDist label
2700 2335 SFO
3200 2417 SEA
2700 2062 JAC
2000 1649 SLC
2200 1562 MSP
1800 1342 JAC
2200 2200 LAX
1800 1703 LAS
1500 1315 DEN
1600 1414 PHX
1000 1000 DFW
1700 1204 ORD
1500 1063 DTW
1300 1044 EWR
1100 1005 JFK
500 412.3 CLT
900 728 STL
600 509.9 ATL
400 316.2 MCO
500 500 MIA

