plane_id gallons miles avg_alt avg_mph mins
1 4500 900 30000 509 108
2 10685 2137 36434 560 234
3 5375 1075 34090 550 124
4 9650 1930 35000 554 207
5 5010 1002 34500 523 116
6 6365 1273 34600 532 148
7 11885 2377 37560 567 252
8 3790 758 31050 497 87
9 3535.5 707.1 31340 487 95
10 5850 1170 33550 512 127
11 4527.5 905.5 32509 498 118
12 2692.5 538.5 30150 478 65
13 6265 1253 32050 507 136
14 4610 922 31045 499 105
15 6365 1273 34560 518 138
16 7105 1421 34980 524 172
17 9300 1860 35680 541 197
18 10125 2025 35670 540 203
19 8860 1772 34560 575 178
20 1118 223.6 30005 454 37
21 2915.5 583.1 31053 468 68
22 2061.5 412.3 31350 467 59
